Food ID,Business Name,URL Link
3,Aunty Sham Ayam Penyet,https://www.google.com/maps/place/Aunty+Sham+Ayam+Penyet/data=!4m7!3m6!1s0x31da19b7fc45249f:0xd44d71788882875!8m2!3d1.3075488!4d103.8569026!16s%2Fg%2F11j7ygf8g2!19sChIJnyRF_LcZ2jERdSiIiBfXRA0?authuser=0&hl=en&rclk=1
3,Penyet Kartini,https://www.google.com/maps/place/Penyet+Kartini/data=!4m7!3m6!1s0x31da1708f3a463b7:0x25f08cd251ff23f8!8m2!3d1.3914889!4d103.8936103!16s%2Fg%2F11lfl31y0_!19sChIJt2Ok8wgX2jER-CP_UdKM8CU?authuser=0&hl=en&rclk=1
3,Ayam Penyet President - Vivocity,https://www.google.com/maps/place/Ayam+Penyet+President+-+Vivocity/data=!4m7!3m6!1s0x31da19e460b446ad:0xc684645d15449d5c!8m2!3d1.2650064!4d103.8230743!16s%2Fg%2F11h1m56zml!19sChIJrUa0YOQZ2jERXJ1EFV1khMY?authuser=0&hl=en&rclk=1
3,Dapur Penyet @ Centrepoint,https://www.google.com/maps/place/Dapur+Penyet+@+Centrepoint/data=!4m7!3m6!1s0x31da1996c7f38acb:0xd14f1201031a1c6c!8m2!3d1.3023557!4d103.8399728!16s%2Fg%2F11cn9p_0dc!19sChIJy4rzx5YZ2jERbBwaAwEST9E?authuser=0&hl=en&rclk=1
3,Master's Ayam Penyet,https://www.google.com/maps/place/Master%27s+Ayam+Penyet/data=!4m7!3m6!1s0x31da18070e76eccf:0xbf828eb17d0d8870!8m2!3d1.3196167!4d103.9125714!16s%2Fg%2F11fxvv4t3t!19sChIJz-x2DgcY2jERcIgNfbGOgr8?authuser=0&hl=en&rclk=1
4,Toa Payoh Lorong 5 Bak Chor Mee,https://www.google.com/maps/place/Toa+Payoh+Lorong+5+Bak+Chor+Mee/data=!4m7!3m6!1s0x31da176e772d36dd:0xf4ffb7d9e78b36ca!8m2!3d1.3402503!4d103.8543821!16s%2Fg%2F11g7z5zy6j!19sChIJ3TYtd24X2jERyjaL59m3__Q?authuser=0&hl=en&rclk=1
4,MACPHERSON BAK CHOR MEE,https://www.google.com/maps/place/MACPHERSON+BAK+CHOR+MEE/data=!4m7!3m6!1s0x31da179dbdfc4811:0xb1231bfc2217ea57!8m2!3d1.3384624!4d103.849005!16s%2Fg%2F11gw2r86sf!19sChIJEUj8vZ0X2jERV-oXIvwbI7E?authuser=0&hl=en&rclk=1
4,Macpherson Minced Meat Noodle (Bak Chor Mee),https://www.google.com/maps/place/Macpherson+Minced+Meat+Noodle+%28Bak+Chor+Mee%29/data=!4m7!3m6!1s0x31da177ff3bd6f91:0xa5eb9855e03cc25!8m2!3d1.3283878!4d103.8700248!16s%2Fg%2F11cm96gy8w!19sChIJkW-9838X2jERJcwDXoW5Xgo?authuser=0&hl=en&rclk=1
4,Bak Chor Mee,https://www.google.com/maps/place/Bak+Chor+Mee/data=!4m7!3m6!1s0x31da1bf02a059c47:0xc19323cdb939a3f!8m2!3d1.2885045!4d103.8139599!16s%2Fg%2F11lgnk_183!19sChIJR5wFKvAb2jERP5qT2zwyGQw?authuser=0&hl=en&rclk=1
4,Seng Huat Bak Chor Mee,https://www.google.com/maps/place/Seng+Huat+Bak+Chor+Mee/data=!4m7!3m6!1s0x31da19bab2b78907:0xf14b71d9d3ed4d5f!8m2!3d1.2984321!4d103.8557999!16s%2Fg%2F11cmnm2lln!19sChIJB4m3sroZ2jERX03t09lxS_E?authuser=0&hl=en&rclk=1
4,Lai Heng Bak Chor Mee,https://www.google.com/maps/place/Lai+Heng+Bak+Chor+Mee/data=!4m7!3m6!1s0x31da17fe767cd7c7:0xe42a7aa10c67b5f9!8m2!3d1.3341299!4d103.8516901!16s%2Fg%2F11gt9xw6hn!19sChIJx9d8dv4X2jER-bVnDKF6KuQ?authuser=0&hl=en&rclk=1
4,Tiong Bahru Bak Chor Mee,https://www.google.com/maps/place/Tiong+Bahru+Bak+Chor+Mee/data=!4m7!3m6!1s0x31da1979e511755b:0x8ddc70792a9eafa6!8m2!3d1.2849292!4d103.8325579!16s%2Fg%2F11j7ygh67l!19sChIJW3UR5XkZ2jERpq-eKnlw3I0?authuser=0&hl=en&rclk=1
4,Xing Ji Rou Cuo Mian (Bak Chor Mee),https://www.google.com/maps/place/Xing+Ji+Rou+Cuo+Mian+%28Bak+Chor+Mee%29/data=!4m7!3m6!1s0x31da3d4cbf124ed3:0x7820eb89d05893c!8m2!3d1.3320018!4d103.9384958!16s%2Fg%2F1tksf9x8!19sChIJ004Sv0w92jERPIkFnbgOggc?authuser=0&hl=en&rclk=1
4,Bang Bang Mushroom Bak Chor Mee,https://www.google.com/maps/place/Bang+Bang+Mushroom+Bak+Chor+Mee/data=!4m7!3m6!1s0x31da182c9a6e32fd:0x6eb18d5b9f9a02f9!8m2!3d1.3211868!4d103.8699721!16s%2Fg%2F11j7yghgg8!19sChIJ_TJumiwY2jER-QKan1uNsW4?authuser=0&hl=en&rclk=1
4,“No Signboard” Bak Chor Mee,https://www.google.com/maps/place/%E2%80%9CNo+Signboard%E2%80%9D+Bak+Chor+Mee/data=!4m7!3m6!1s0x31da19fb751cc0cf:0x73ef05b3b4bee785!8m2!3d1.284337!4d103.8327239!16s%2Fg%2F11h07y7vzk!19sChIJz8AcdfsZ2jERhee-tLMF73M?authuser=0&hl=en&rclk=1
4,Seng Hiang Bak Chor Mee (#03-07),https://www.google.com/maps/place/Seng+Hiang+Bak+Chor+Mee+%28%2303-07%29/data=!4m7!3m6!1s0x31da174660c014cb:0xcc6c6cf3a4d2f229!8m2!3d1.3916908!4d103.876824!16s%2Fg%2F11t6xzy2b2!19sChIJyxTAYEYX2jERKfLSpPNsbMw?authuser=0&hl=en&rclk=1
4,Grandfather Food Empire Bak Chor Mee,https://www.google.com/maps/place/Grandfather+Food+Empire+Bak+Chor+Mee/data=!4m7!3m6!1s0x31da19d24c9f151f:0x6af98f8313392d3!8m2!3d1.300154!4d103.8538166!16s%2Fg%2F11sbxd3c_q!19sChIJHxWfTNIZ2jER05IzMfiYrwY?authuser=0&hl=en&rclk=1
4,Tian Hong Bak Chor Mee (天宏香菇肉脞面),https://www.google.com/maps/place/Tian+Hong+Bak+Chor+Mee+%28%E5%A4%A9%E5%AE%8F%E9%A6%99%E8%8F%87%E8%82%89%E8%84%9E%E9%9D%A2%29/data=!4m7!3m6!1s0x31da1833ca8753ab:0x91a37871bb92e8a!8m2!3d1.3149244!4d103.8719311!16s%2Fg%2F11hbn6wl15!19sChIJq1OHyjMY2jERii65G4c3Ggk?authuser=0&hl=en&rclk=1
4,Huang Da Fu 黄大福 Bak Chor Mee,https://www.google.com/maps/place/Huang+Da+Fu+%E9%BB%84%E5%A4%A7%E7%A6%8F+Bak+Chor+Mee/data=!4m7!3m6!1s0x31da1a3fc7419c3b:0xeac0e24baaddd3f7!8m2!3d1.306944!4d103.800334!16s%2Fg%2F11gf8hrm18!19sChIJO5xBxz8a2jER99PdqkviwOo?authuser=0&hl=en&rclk=1
4,Fu Gui Bak Chor Mee,https://www.google.com/maps/place/Fu+Gui+Bak+Chor+Mee/data=!4m7!3m6!1s0x31da190fc15e1101:0x73676ad1c6e68f45!8m2!3d1.302428!4d103.883923!16s%2Fg%2F11h0bwhvnz!19sChIJARFewQ8Z2jERRY_mxtFqZ3M?authuser=0&hl=en&rclk=1
